filename,filetype,filesize,codesecsize,md5,imphash,compilationtime,addressep,sectionep,tlssections,originalfilename,sectioncount,secname1,secname2,secname3,secname4,secname5,secname6,secsize1,secsize2,secsize3,secsize4,secsize5,secsize6,secent1,secent2,secent3,secent4,secent5,secent6,functionstotal,refslocal,refsglobalvar,refsunknown,apitotal,apimisses,stringsreferenced,stringsdangling,stringsnoref,ratiofunc,ratioapi,ratiostring,getprocaddress,memallocation,createthread,ctshortestpath,callbackcount,cbaveragesize,cblargestsize,stringsrefhisto
9f7cc8de9c5c08d71cbe692232e4e33a6afd6d30d40df33036be8b09751b0823,PE32 executable (GUI) Intel 80386 for MS Windows,299008,81920,6cd2413064c65804c4025f7865a2fe20,0226ff46c04d70487272245eae4d2eba,2010-01-15 08:59:20,0xb380,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,81920,16384,8192,188416,,,6.563337554442985,4.534740004958626,4.332237928201181,7.964408021031477,,,489,2038,3,4,391,1,249,0,5178,5.96923828125,4.77294921875,3.03955078125,11,22,0,0,0,0,0,2-5-38-65-94-12-8-17-5
a1973790e277b489110ae8ed625c13c2e9a79afaa2aed5d27904dcfa46481ae3,PE32 executable (GUI) Intel 80386 for MS Windows,184320,139264,2a64d331964dbdec8141f16585f392ba,ab6ca4f362ad7e1f7c89ed74c127c9ff,2010-02-16 17:05:54,0x12996,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,139264,24576,12288,4096,,,6.515372504348373,4.756600838892071,3.7515592922515517,0.0,,,896,3529,3,2,673,1,354,0,2090,6.4338235294117645,4.83254825367647,2.5419347426470584,11,20,7,3,5,502,863,3-9-27-132-99-12-20-19-22
aa73634ca325022dd6daff2df30484ec9031939044cf4c2a004cbdb66108281d,PE32 executable (DLL) (GUI) Intel 80386 for MS Windows,599438,418304,4525141d9e6e7b5a7f4e8c3db3f0c24c,caf7624af4696ebede0878f506c8cc01,2011-08-29 13:02:29,0x4b0a1,.text|0,0,,5,.text,.rdata,.data,.ss,.reloc,,418304,129536,28160,512,20992,,6.7268471806075505,6.973714438652485,5.846983875501922,0.0,5.778329178154962,,2819,8247,39,2,832,0,343,0,6169,6.739117962056304,1.988984088127295,0.8199778151774786,17,19,1,3,1,69,69,17-81-25-55-42-29-10-18-40
b2370013167bd617a1b76f75bae05c7715fed3a99fa9f0fce8728bce49f0fb79,PE32 executable (GUI) Intel 80386 for MS Windows,290816,233472,40e0f0681c79d70ac0329e68a94294cb,e5c91819994f87e4b5099e1d342bbec5,2010-03-09 13:16:25,0x20ec5,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,233472,36864,12288,4096,,,6.636607210760108,4.698624497641232,4.861823606874447,0.0,,,1571,5266,5,2,740,1,393,0,3576,6.728858278508771,3.1695449561403506,1.6832853618421053,12,20,7,3,6,539,863,3-13-27-140-110-14-21-16-33
be14d781b85125a6074724964622ab05f89f41e6bacbda398bc7709d1d98a2ef,PE32 executable (GUI) Intel 80386 for MS Windows,792064,583680,3bbb59afdf9bda4ffdc644d9d51c53e7,c0b4d1880addd1fcab5095057ac559e2,2011-10-25 19:28:39,0x572ae,.text|0,0,netmgr.exe,5,.text,.rdata,.data,.rsrc,.reloc,,583680,112128,68608,2560,24064,,6.34353480646419,6.1564028320667905,3.790503667137237,6.1419732599426435,6.099956952230222,,3685,14429,4,2,1156,70,1009,59,6676,6.313390899122807,1.9805372807017545,1.7286869517543861,25,39,8,2,4,734,1241,16-59-103-195-191-36-34-79-135
bf206a0c9ec43d3839b56c12028c173e7a60dcb8156697808afff95057981d40,PE32 executable (GUI) Intel 80386 for MS Windows,438272,196608,330dc1a7f3930a2234e505ba11da0eea,d81fb1ad49ac1d15be483ab1934dd568,2010-04-30 09:05:36,0x1bca8,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,196608,28672,12288,196608,,,6.65801829697673,4.849198870414372,4.120673090290144,7.968149642165874,,,1386,4385,5,2,528,1,317,0,6928,7.049560546875,2.685546875,1.6123453776041667,17,23,1,2,1,220,220,4-8-39-86-112-14-13-11-22
c6a182f410b4cda0665cd792f00177c56338018fbc31bb34e41b72f8195c20cc,PE32 executable (GUI) Intel 80386 for MS Windows,966144,128512,c40e3ee23cf95d992b7cd0b7c01b8599,1619a99ed0881ebb9f760cfdef47c2b5,2011-10-25 19:28:00,0xf6f1,.text|0,0,,5,.text,.rdata,.data,.rsrc,.reloc,,128512,27648,6656,792576,9728,,6.682241535291592,4.848795535908612,4.089951691049512,6.417268481291405,5.033690056635027,,983,2611,4,1,299,0,140,0,9693,7.649091135458168,2.3266309760956174,1.0893924302788844,12,6,1,4,1,60,60,3-6-8-22-42-4-0-7-36
c72a055b677cd9e5e2b2dcbba520425d023d906e6ee609b79c643d9034938ebf,PE32 executable (GUI) Intel 80386 for MS Windows,710075,79872,9fff114f15b86896d8d4978c0ad2813d,f445666591b9dc1e4fa252be6b3a3a67,2011-08-29 11:48:42,0x691a,.text|0,0,,4,.text,.rdata,.data,.rsrc,,,79872,24576,4608,512,,,6.587479863059564,6.8188321895961375,2.4062969218711365,0.0,,,624,1905,3,4,291,0,140,0,13344,7.8125,3.643329326923077,1.7528044871794872,15,12,0,0,0,0,0,3-66-3-14-24-19-0-4-2
c9197a1fa5f911d11c51a66cfc1424063ed80547ca3f8637b77d06f36fc96e7d,PE32 executable (GUI) Intel 80386 for MS Windows,847872,583261,eb2f16a59b07d3a196654c6041d0066e,,2011-10-25 19:28:39,0x572ae,.text|0,0,netmgr.exe,6,.text,.rdata,.data,.rsrc,.reloc,.idata2,583261,111836,114508,2344,23922,512,6.345652697535456,6.185691439024143,2.5509116787765977,6.077540420727092,6.122214169286252,0.0,3685,14435,1014,2,0,0,1014,59,6684,6.317926280001577,0.0,1.7385012884454816,0,0,0,0,0,0,0,16-59-103-195-191-36-39-79-135
daa56e7acd5fb69ecefdbf5179c5ef4776ccc41ebe7e14920f11b84678c83a00,PE32 executable (GUI) Intel 80386 for MS Windows,182784,137728,cc87d090a1607b4dde18730b79b78632,2db5d5a2d4e4ea9c09b7d86e99210bdb,2010-06-18 14:18:18,0x16760,.text|0,0,"svchost.exe",6,.text,.rdata,.data,.rsrc,.reloc,.idata,137728,24576,8192,1024,9216,1024,6.606206549010942,5.849986210924849,1.994312850360272,3.3697542961313447,5.044197946641016,4.952636846291531,803,3665,5,2,417,0,214,0,1818,5.830332249070632,3.027706784386617,1.5537871747211895,10,6,1,3,1,147,147,5-12-9-45-82-21-13-12-7
dump21cb.dll,PE32 executable (DLL) (GUI) Intel 80386 for MS Windows,599504,418304,4582d9d2120fb9c80ef01e2135fa3515,caf7624af4696ebede0878f506c8cc01,2011-07-06 14:59:52,0x4b061,.text|0,0,,5,.text,.rdata,.data,.ss,.reloc,,418304,129536,28160,512,20992,,6.725987232625879,6.9697101712884715,5.843836429683213,0.0,5.783160881659421,,2817,8255,39,2,832,0,343,0,6167,6.734336750305998,1.988984088127295,0.8199778151774786,17,19,1,3,1,69,69,17-82-25-55-42-29-10-18-40
f580ccf887f64544095e85256a860af8294fb8ca2785a90c61ba1494e6c61191,PE32 executable (GUI) Intel 80386 for MS Windows,299008,229955,a7a22d250314d8319627c746664045b3,,2010-03-09 13:16:25,0x20ec5,.text|0,0,,5,.text,.rdata,.data,.rsrc,.idata2,,229955,33566,19624,16,512,,6.690082490342923,5.0803068782686776,3.611426902302909,0.0,0.0,,1571,5266,598,2,0,0,394,0,3587,6.831771433541345,0.0,1.7133787045291469,0,0,0,0,0,0,0,3-13-27-140-110-14-22-16-33
ntrass.exe_,PE32 executable (GUI) Intel 80386 for MS Windows,172032,118784,4040b9a7fd9f247685d51a3a45f31a7e,3221fdab2986a1d1789ee0c434cf0040,2010-06-21 09:31:38,0xf8a6,.text|0,0,,5,.text,.rdata,.data,.rsrc,.reloc,,118784,24576,8192,4096,12288,,6.591519311867101,6.558351110322685,4.487952235047445,3.0566776817036985,4.161778581699636,,715,2884,5,5,585,1,232,0,2287,6.019329202586206,4.924905711206896,1.953125,11,20,3,2,2,277,344,3-14-22-94-60-7-7-9-9
wsock32.dll,PE32 executable (DLL) (GUI) Intel 80386 for MS Windows,471552,37376,8e3a0306c31db2cdd66e1613dae59d57,fc2bf1ae3d138694ca6fcdf7b68f1755,2010-09-02 09:30:33,0x1e35,.text|0,0,,5,.text,.rdata,.data,.rsrc,.reloc,,37376,12800,413696,512,6144,,6.525944321150616,4.714443464868741,3.415468652146986,5.119673628583671,3.4906569050309284,,331,937,3,1,206,0,42,0,2511,8.855950342465754,5.511558219178083,1.1237157534246576,10,7,0,0,0,0,0,2-2-9-7-14-1-0-3-2
